Size,Rooms,Floors,Owners,Age,Yard,Pool,GuestRoom,Price,NumPrice
67.697,71,15,7,28,Small,Yes,No,High,1
37.195,19,34,9,8,Big,No,No,Low,0
1.138,4,18,6,25,Big,No,Yes,Low,0
53.25,15,66,8,27,Big,Yes,No,High,1
13.353,17,18,3,10,Big,No,Yes,Low,0
45.947,16,15,7,22,Small,No,No,Low,0
10.683,26,3,5,17,Big,No,No,Low,0
24.927,4,87,3,11,Small,No,Yes,Low,0
96.526,29,97,2,29,Small,No,No,High,1
5.722,63,92,2,22,Big,No,No,Low,0
56.701,60,34,2,13,Big,Yes,No,High,1
11.986,69,75,1,20,Big,Yes,No,Low,0
50.07,66,47,4,26,Small,Yes,Yes,High,1
29.411,26,53,9,4,Big,No,Yes,Low,0
86.834,54,23,1,8,Big,Yes,Yes,High,1
48.392,44,6,7,29,Small,Yes,Yes,Low,0
56.659,43,85,8,9,Small,Yes,No,High,1
27.302,4,42,8,1,Small,No,No,Low,0
75.571,9,16,6,0,Big,Yes,Yes,High,1
18.564,19,27,6,3,Small,Yes,No,Low,0
33.398,78,30,6,29,Big,No,No,Low,0
34.154,100,89,2,23,Small,No,Yes,Low,0
30.633,34,98,2,17,Small,Yes,Yes,Low,0
22.482,95,87,1,24,Small,No,No,Low,0
56.819,66,55,10,4,Big,No,No,High,1
20.276,99,75,10,27,Small,No,Yes,Low,0
6.881,69,15,7,25,Big,Yes,No,Low,0
12.279,2,75,5,11,Big,No,No,Low,0
57.865,2,30,10,3,Small,No,Yes,High,1
85.275,61,97,6,15,Big,No,No,High,1
71.848,86,61,2,4,Small,No,No,High,1
19.608,24,83,4,2,Big,Yes,No,Low,0
66.687,95,21,10,21,Big,No,Yes,High,1
62.977,47,15,10,12,Big,Yes,No,High,1
19.598,44,2,2,6,Big,Yes,No,Low,0
8.138,59,39,4,7,Small,No,Yes,Low,0
52.109,65,51,1,28,Small,No,Yes,High,1
59.348,61,19,7,9,Small,Yes,No,High,1
34.251,49,29,8,10,Big,Yes,Yes,Low,0
40.327,56,100,1,8,Small,Yes,Yes,Low,0
42.674,36,5,3,7,Small,Yes,Yes,Low,0
42.893,26,42,10,7,Small,No,No,Low,0
98.764,66,29,10,15,Small,No,No,High,1
9.678,10,87,9,13,Big,No,No,Low,0
66.327,83,52,6,31,Small,No,Yes,High,1
35.714,84,52,9,28,Big,No,Yes,Low,0
26.328,12,8,5,12,Big,Yes,No,Low,0
98.788,27,25,9,7,Big,No,No,High,1
86.467,68,22,6,7,Small,Yes,No,High,1
15.162,41,91,4,9,Big,No,Yes,Low,0
77.012,50,18,5,15,Big,No,No,High,1
17.034,50,89,2,15,Big,Yes,Yes,Low,0
43.412,3,68,5,11,Big,Yes,Yes,Low,0
53.02,64,79,6,25,Small,Yes,No,High,1
62.869,18,12,1,6,Small,No,Yes,High,1
56.559,23,60,4,31,Big,No,No,High,1
2.877,19,83,4,26,Big,No,Yes,Low,0
17.256,30,59,10,27,Small,No,No,Low,0
17.114,17,28,6,0,Big,No,Yes,Low,0
51.65,98,97,1,1,Small,Yes,No,High,1
50.205,56,9,3,25,Small,Yes,Yes,High,1
32.218,28,39,4,6,Big,No,No,Low,0
97.704,92,9,1,19,Big,No,Yes,High,1
58.864,11,1,3,7,Small,Yes,No,High,1
92.86,28,2,2,3,Big,Yes,Yes,High,1
53.665,66,81,3,19,Big,Yes,No,High,1
22.238,14,14,6,31,Small,Yes,Yes,Low,0
44.075,60,27,2,16,Big,Yes,Yes,Low,0
84.355,23,22,10,22,Small,Yes,Yes,High,1
94.457,63,29,9,14,Big,Yes,No,High,1
92.329,97,97,6,17,Small,Yes,No,High,1
44.317,27,78,3,15,Small,Yes,Yes,Low,0
61.139,92,94,2,15,Small,Yes,No,High,1
98.258,16,80,4,7,Big,No,No,High,1
62.268,54,23,10,2,Big,No,No,High,1
35.522,94,5,6,27,Small,Yes,No,Low,0
42.179,11,40,3,22,Small,No,Yes,Low,0
8.677,7,91,10,27,Small,Yes,No,Low,0
11.593,40,57,9,24,Big,No,No,Low,0
83.281,55,2,7,6,Big,No,Yes,High,1
52.165,3,3,2,23,Big,No,No,High,1
95.404,10,8,10,12,Small,Yes,No,High,1
97.165,58,39,2,16,Small,Yes,Yes,High,1
31.317,91,25,2,26,Big,Yes,Yes,Low,0
11.062,23,95,2,2,Small,Yes,No,Low,0
50.066,63,67,5,23,Small,Yes,Yes,High,1
9.474,28,84,10,19,Big,Yes,Yes,Low,0
77.018,26,63,10,6,Small,No,Yes,High,1
29.888,51,66,4,17,Big,No,Yes,Low,0
10.206,42,56,4,14,Big,No,No,Low,0
32.316,47,6,4,9,Small,No,Yes,Low,0
18.603,8,5,4,4,Big,Yes,No,Low,0
90.947,89,61,6,7,Big,Yes,Yes,High,1
68.113,67,29,2,14,Big,No,No,High,1
19.339,2,81,3,18,Big,No,No,Low,0
41.095,94,87,9,2,Small,Yes,No,Low,0
6.931,5,35,3,31,Big,Yes,No,Low,0
67.327,47,87,3,31,Small,No,Yes,High,1
45.939,54,5,6,27,Small,No,Yes,Low,0
36.219,37,88,6,18,Big,Yes,Yes,Low,0
3.534,16,13,1,18,Big,Yes,Yes,Low,0
4.169,27,30,2,21,Small,No,No,Low,0
15.434,21,67,2,26,Small,Yes,No,Low,0
57.53,72,2,6,20,Small,Yes,No,High,1
75.681,7,35,4,9,Small,No,No,High,1
31.429,17,78,5,0,Big,Yes,Yes,Low,0
44.247,62,55,2,29,Small,No,No,Low,0
68.224,12,14,2,4,Big,No,Yes,High,1
56.416,41,99,7,0,Big,Yes,Yes,High,1
93.44,60,1,3,22,Big,No,Yes,High,1
10.641,15,56,10,0,Small,No,Yes,Low,0
99.354,49,88,4,17,Small,No,No,High,1
7.49,11,98,3,19,Big,Yes,No,Low,0
91.987,31,90,1,28,Big,No,Yes,High,1
87.022,60,89,6,9,Big,No,No,High,1
81.618,87,80,5,12,Small,Yes,Yes,High,1
60.168,71,19,8,30,Small,Yes,Yes,High,1
80.386,41,4,10,27,Big,Yes,Yes,High,1
40.952,58,57,10,17,Big,Yes,Yes,Low,0
99.539,34,75,9,0,Small,Yes,No,High,1
15.301,66,5,3,29,Big,No,No,Low,0
27.61,29,53,2,27,Big,Yes,Yes,Low,0
54.469,53,88,5,22,Small,No,Yes,High,1
98.35,34,96,5,19,Big,Yes,No,High,1
49.426,30,97,3,0,Big,No,No,Low,0
82.525,63,38,4,13,Small,Yes,Yes,High,1
61.208,51,39,6,0,Big,No,Yes,High,1
34.395,24,7,5,22,Big,No,Yes,Low,0
97.976,14,31,5,9,Small,Yes,No,High,1
25.46,89,92,6,25,Small,Yes,No,Low,0
65.56,13,25,4,18,Big,Yes,No,High,1
67.462,52,98,3,13,Big,No,Yes,High,1
23.336,38,23,6,3,Small,Yes,Yes,Low,0
54.2,51,43,5,11,Small,No,Yes,High,1
61.734,28,82,9,5,Small,Yes,No,High,1
84.747,97,86,7,7,Small,Yes,No,High,1
8.94,86,39,3,10,Big,No,No,Low,0
71.541,71,44,3,6,Big,Yes,No,High,1
39.664,87,75,3,24,Big,No,No,Low,0
80.622,80,46,7,6,Small,Yes,Yes,High,1
16.625,27,8,9,7,Small,No,Yes,Low,0
57.182,90,100,1,29,Big,Yes,No,High,1
77.174,29,23,4,9,Small,Yes,Yes,High,1
55.32,47,77,9,23,Big,Yes,No,High,1
5.264,4,60,7,21,Big,No,Yes,Low,0
79.653,4,19,1,8,Small,Yes,Yes,High,1
39.13,3,52,10,17,Small,Yes,Yes,Low,0
31.706,12,86,7,5,Small,Yes,Yes,Low,0
32.956,2,46,8,28,Big,Yes,Yes,Low,0
77.646,36,49,1,23,Small,Yes,Yes,High,1
83.602,5,2,7,30,Small,Yes,No,High,1
44.913,30,39,9,6,Small,No,No,Low,0
42.167,67,99,6,1,Small,No,Yes,Low,0
26.146,34,98,9,10,Small,Yes,Yes,Low,0
19.714,32,98,1,18,Small,No,No,Low,0
51.744,15,20,2,24,Big,Yes,Yes,High,1
3.854,7,25,7,12,Big,No,Yes,Low,0
98.032,81,41,5,22,Big,Yes,No,High,1
43.188,8,64,9,5,Small,No,No,Low,0
5.132,54,42,1,3,Big,Yes,No,Low,0
43.954,38,4,9,18,Big,Yes,Yes,Low,0
2.246,14,46,1,6,Small,No,Yes,Low,0
81.06,54,15,2,19,Big,Yes,No,High,1
26.659,49,15,9,0,Small,No,Yes,Low,0
44.008,40,10,7,29,Small,No,No,Low,0
13.44,31,83,3,15,Small,No,Yes,Low,0
86.676,22,12,2,22,Small,Yes,Yes,High,1
57.415,21,43,3,1,Big,Yes,Yes,High,1
34.901,13,32,7,11,Small,No,No,Low,0
60.256,60,68,3,5,Big,No,Yes,High,1
87.84,77,69,9,18,Small,No,Yes,High,1
51.78,83,88,8,0,Small,No,No,High,1
90.981,76,89,4,8,Big,Yes,Yes,High,1
51.785,24,81,2,18,Big,Yes,No,High,1
0.229,49,6,1,7,Big,No,No,Low,0
83.104,50,80,3,16,Small,Yes,No,High,1
35.287,53,33,3,8,Big,Yes,No,Low,0
55.994,14,33,2,5,Big,Yes,Yes,High,1
50.276,26,45,1,13,Small,No,No,High,1
8.808,85,37,10,23,Big,No,Yes,Low,0
71.061,42,75,4,28,Small,No,Yes,High,1
45.381,65,3,4,15,Big,No,No,Low,0
97.02,26,46,4,4,Big,Yes,Yes,High,1
89.356,23,18,3,30,Small,No,Yes,High,1
22.587,48,29,3,23,Big,Yes,No,Low,0
77.561,62,79,2,22,Small,No,No,High,1
61.067,81,39,5,23,Big,No,Yes,High,1
0.18,63,71,2,1,Small,No,Yes,Low,0
34.511,7,24,8,15,Small,Yes,No,Low,0
72.425,80,83,7,19,Small,Yes,No,High,1
75.039,5,26,8,0,Big,Yes,No,High,1
21.843,66,10,2,3,Small,Yes,Yes,Low,0
48.144,72,46,8,26,Small,Yes,No,Low,0
83.421,32,9,7,26,Big,Yes,No,High,1
0.77,68,80,8,11,Small,No,Yes,Low,0
47.831,51,29,1,10,Big,No,Yes,Low,0
29.356,96,46,9,31,Big,Yes,Yes,Low,0
22.713,33,25,3,27,Big,No,No,Low,0
47.74,99,25,4,4,Small,No,No,Low,0
16.977,46,54,6,2,Big,Yes,Yes,Low,0
84.947,54,68,7,7,Small,No,Yes,High,1
27.592,14,24,5,2,Small,Yes,Yes,Low,0
22.585,22,29,5,23,Big,No,No,Low,0
5.537,65,24,6,9,Small,Yes,Yes,Low,0
39.688,69,79,7,18,Small,No,Yes,Low,0
4.194,4,30,1,22,Small,Yes,Yes,Low,0
24.516,100,67,1,16,Small,Yes,No,Low,0
36.489,98,58,9,15,Small,No,Yes,Low,0
0.241,78,50,6,8,Small,Yes,Yes,Low,0
93.506,86,73,5,17,Big,No,No,High,1
59.972,28,18,8,0,Small,Yes,Yes,High,1
39.13,94,61,5,1,Small,No,Yes,Low,0
22.034,71,76,3,17,Small,No,No,Low,0
52.369,28,70,1,12,Small,Yes,Yes,High,1
79.252,27,61,8,1,Small,No,No,High,1
70.226,30,77,3,13,Small,Yes,Yes,High,1
43.239,83,2,8,25,Big,Yes,No,Low,0
59.109,45,21,5,28,Small,Yes,No,High,1
30.914,5,2,4,25,Small,No,Yes,Low,0
34.22,50,33,3,25,Big,Yes,Yes,Low,0
16.915,1,82,8,15,Big,No,Yes,Low,0
91.804,5,81,9,22,Small,No,Yes,High,1
47.377,91,12,4,6,Big,Yes,No,Low,0
96.593,95,79,7,12,Big,No,No,High,1
1.932,51,36,1,21,Big,Yes,No,Low,0
9.691,20,56,8,25,Big,No,No,Low,0
82.19,65,81,7,2,Small,No,No,High,1
43.026,31,53,7,29,Small,Yes,No,Low,0
19.931,71,58,7,17,Small,Yes,No,Low,0
95.328,59,24,10,1,Big,Yes,No,High,1
2.121,35,61,10,5,Big,No,No,Low,0
60.656,82,76,7,7,Big,Yes,Yes,High,1
10.168,25,11,10,1,Small,No,No,Low,0
52.378,58,25,1,2,Big,No,No,High,1
38.003,98,6,10,13,Big,No,No,Low,0
43.845,23,57,3,2,Small,No,Yes,Low,0
2.799,9,29,9,6,Big,No,Yes,Low,0
92.877,22,57,3,28,Big,Yes,No,High,1
57.118,31,49,5,3,Big,Yes,Yes,High,1
17.085,57,94,4,13,Big,Yes,No,Low,0
38.761,7,6,9,3,Small,Yes,Yes,Low,0
64.186,10,6,5,10,Small,No,Yes,High,1
90.929,35,93,2,6,Small,No,No,High,1
59.003,52,63,8,22,Small,Yes,No,High,1
70.01,92,29,9,10,Big,Yes,Yes,High,1
54.183,33,7,3,21,Small,Yes,Yes,High,1
30.896,27,15,3,13,Big,Yes,No,Low,0
29.57,24,32,4,29,Small,No,Yes,Low,0
3.824,45,9,6,2,Big,Yes,Yes,Low,0
53.753,36,30,9,13,Big,Yes,Yes,High,1
16.247,71,95,4,31,Small,No,No,Low,0
98.664,15,42,2,18,Big,Yes,Yes,High,1
12.127,22,69,4,23,Small,No,No,Low,0
97.586,74,19,10,6,Small,Yes,Yes,High,1
66.045,31,83,9,2,Small,No,No,High,1
52.143,80,59,5,14,Big,Yes,Yes,High,1
80.254,5,84,1,17,Small,No,No,High,1
22.821,64,14,8,28,Big,Yes,Yes,Low,0
29.37,13,45,4,19,Small,No,Yes,Low,0
96.184,46,1,5,16,Small,No,No,High,1
16.551,19,65,5,4,Small,No,No,Low,0
86.796,99,51,9,13,Big,Yes,No,High,1
63.182,21,91,5,31,Small,Yes,Yes,High,1
60.305,88,90,3,2,Big,Yes,No,High,1
70.202,2,19,1,11,Big,No,Yes,High,1
40.849,75,21,2,14,Small,No,No,Low,0
22.681,93,6,5,17,Big,Yes,No,Low,0
97.566,74,41,3,17,Big,No,No,High,1
72.447,68,99,9,9,Big,No,No,High,1
32.471,15,77,7,31,Small,Yes,No,Low,0
83.78,56,6,10,1,Big,No,Yes,High,1
23.088,29,55,5,21,Small,No,Yes,Low,0
7.954,41,50,4,31,Small,Yes,No,Low,0
42.557,71,23,2,6,Big,Yes,Yes,Low,0
67.294,98,83,5,5,Big,No,No,High,1
37.506,88,94,7,5,Small,No,Yes,Low,0
54.927,67,16,6,24,Small,No,No,High,1
84.221,47,47,8,17,Small,Yes,Yes,High,1
71.251,22,40,7,16,Big,Yes,Yes,High,1
93.615,68,41,2,26,Big,No,Yes,High,1
48.809,16,54,4,9,Small,No,No,Low,0
63.975,54,90,7,23,Small,No,Yes,High,1
90.697,18,19,10,0,Big,No,Yes,High,1
82.819,12,86,2,16,Small,Yes,No,High,1
0.533,84,81,5,27,Big,No,Yes,Low,0
70.872,45,45,8,18,Small,Yes,Yes,High,1
95.076,10,44,6,22,Big,Yes,Yes,High,1
9.494,59,49,4,8,Big,Yes,No,Low,0
26.009,18,9,6,24,Big,Yes,No,Low,0
88.639,99,28,4,23,Big,No,No,High,1
58.092,76,42,10,21,Big,No,Yes,High,1
19.461,78,10,1,0,Big,No,No,Low,0
93.45,23,63,9,0,Big,No,No,High,1
3.166,87,73,2,12,Big,Yes,Yes,Low,0
39.17,54,41,10,16,Big,Yes,Yes,Low,0
93.509,28,62,2,29,Big,Yes,Yes,High,1
82.016,15,93,4,7,Small,No,Yes,High,1
8.223,73,18,4,12,Big,No,Yes,Low,0
74.315,47,17,7,19,Big,No,Yes,High,1
30.858,28,32,1,24,Big,Yes,No,Low,0
42.578,49,23,8,8,Big,Yes,No,Low,0
50.168,36,41,8,18,Big,No,Yes,High,1
76.183,69,41,2,25,Small,No,Yes,High,1
89.425,19,47,9,19,Big,Yes,Yes,High,1
81.281,90,20,5,0,Small,Yes,Yes,High,1
36.842,15,36,1,8,Small,No,No,Low,0
0.369,25,92,10,18,Small,No,No,Low,0
12.757,100,7,8,1,Big,No,Yes,Low,0
46.945,58,69,4,16,Small,No,Yes,Low,0
19.127,31,5,9,13,Big,No,No,Low,0
70.896,81,96,6,31,Small,No,No,High,1
51.89,85,37,8,1,Big,Yes,Yes,High,1
54.753,100,84,1,21,Big,No,Yes,High,1
51.121,83,89,8,4,Big,Yes,No,High,1
12.161,11,16,8,16,Big,No,Yes,Low,0
31.383,68,12,1,13,Big,No,No,Low,0
13.659,10,100,9,6,Small,Yes,No,Low,0
41.324,76,58,1,31,Small,Yes,Yes,Low,0
12.01,3,36,6,25,Small,Yes,Yes,Low,0
79.457,58,18,4,29,Big,No,No,High,1
20.683,36,96,2,26,Small,Yes,Yes,Low,0
27.924,68,81,2,30,Big,Yes,Yes,Low,0
41.932,74,89,5,31,Small,No,Yes,Low,0
24.237,8,21,2,0,Big,Yes,Yes,Low,0
39.699,99,48,3,14,Small,Yes,No,Low,0
28.381,34,64,2,12,Big,No,No,Low,0
87.479,74,78,3,17,Small,Yes,Yes,High,1
58.332,57,74,9,15,Big,Yes,No,High,1
46.525,14,66,10,22,Big,Yes,Yes,Low,0
2.523,12,67,10,6,Big,Yes,Yes,Low,0
6.708,96,12,5,30,Big,No,Yes,Low,0
25.694,75,96,3,18,Big,Yes,No,Low,0
0.939,72,60,1,24,Big,No,Yes,Low,0
51.528,47,11,2,22,Small,No,No,High,1
54.847,38,39,4,1,Big,Yes,No,High,1
55.802,91,32,7,10,Big,Yes,No,High,1
72.587,98,20,5,23,Big,Yes,No,High,1
99.107,54,65,4,3,Small,Yes,Yes,High,1
7.719,5,3,6,28,Small,Yes,Yes,Low,0
16.602,31,62,8,19,Small,No,Yes,Low,0
73.554,81,46,2,17,Small,No,No,High,1
13.388,87,69,8,18,Big,Yes,No,Low,0
6.82,99,86,1,20,Big,Yes,Yes,Low,0
85.431,3,33,2,5,Big,No,No,High,1
51.682,76,100,10,24,Small,Yes,No,High,1
0.525,39,62,1,27,Small,No,No,Low,0
73.733,43,23,7,16,Big,No,No,High,1
90.097,38,94,2,8,Big,No,No,High,1
26.853,57,28,9,16,Small,Yes,Yes,Low,0
0.261,48,28,3,5,Small,Yes,No,Low,0
2.789,20,21,6,30,Small,No,Yes,Low,0
5.585,61,76,10,2,Big,Yes,Yes,Low,0
36.804,99,12,8,25,Small,No,No,Low,0
54.05,64,55,6,2,Small,Yes,Yes,High,1
40.987,99,77,2,26,Small,No,No,Low,0
7.658,93,31,8,25,Small,No,No,Low,0
63.072,55,5,2,13,Small,Yes,No,High,1
70.942,36,28,9,2,Big,Yes,Yes,High,1
32.966,11,44,6,10,Small,Yes,No,Low,0
65.896,44,40,2,27,Big,Yes,Yes,High,1
53.104,91,4,2,5,Big,No,Yes,High,1
6.738,86,60,5,8,Big,No,Yes,Low,0
74.29,38,8,6,15,Big,No,No,High,1
6.547,93,20,7,0,Small,No,No,Low,0
9.208,58,37,4,17,Small,No,No,Low,0
28.787,16,83,7,3,Big,No,Yes,Low,0
93.706,50,59,6,22,Small,No,Yes,High,1
60.022,52,77,8,20,Big,No,No,High,1
81.875,24,18,3,29,Big,Yes,No,High,1
55.287,83,7,1,4,Small,No,Yes,High,1
7.199,74,87,4,2,Big,No,Yes,Low,0
44.859,95,91,1,4,Big,No,Yes,Low,0
77.69,87,60,3,8,Big,No,No,High,1
58.628,97,20,1,20,Big,No,Yes,High,1
67.625,42,84,8,8,Big,No,Yes,High,1
80.823,23,31,9,17,Small,Yes,No,High,1
56.917,24,30,8,24,Small,No,Yes,High,1
82.808,49,7,2,17,Small,No,Yes,High,1
25.224,8,48,10,25,Small,Yes,No,Low,0
5.914,25,46,4,0,Small,No,No,Low,0
71.519,12,80,8,9,Small,Yes,No,High,1
91.931,38,42,8,5,Big,No,Yes,High,1
4.332,31,23,7,3,Big,Yes,No,Low,0
26.484,48,61,8,24,Big,No,No,Low,0
72.772,76,26,9,15,Small,Yes,Yes,High,1
64.633,20,56,4,19,Small,Yes,Yes,High,1
7.812,68,93,6,9,Small,Yes,Yes,Low,0
4.368,85,29,8,0,Small,Yes,No,Low,0
65.639,74,72,1,0,Small,Yes,No,High,1
26.117,1,27,10,28,Big,No,No,Low,0
54.25,57,23,10,10,Big,No,No,High,1
57.97,2,53,6,8,Big,Yes,No,High,1
5.178,17,100,4,31,Small,Yes,No,Low,0
55.933,15,97,8,20,Small,No,Yes,High,1
42.363,31,14,2,1,Small,Yes,Yes,Low,0
63.32,3,3,2,28,Big,Yes,Yes,High,1
67.509,79,63,6,5,Big,Yes,No,High,1
69.29,23,38,3,12,Small,No,Yes,High,1
85.215,25,1,7,21,Small,Yes,No,High,1
10.683,79,50,6,16,Small,No,No,Low,0
95.444,10,10,5,29,Small,Yes,Yes,High,1
69.174,93,94,4,13,Small,Yes,No,High,1
69.421,45,9,2,7,Small,Yes,No,High,1
15.385,69,93,2,8,Big,No,No,Low,0
18.161,91,11,8,6,Big,Yes,Yes,Low,0
6.363,36,75,1,8,Small,No,Yes,Low,0
74.954,6,8,5,30,Small,No,Yes,High,1
37.132,24,38,1,12,Small,No,No,Low,0
2.905,24,51,5,3,Big,Yes,No,Low,0
31.141,6,3,10,1,Small,Yes,Yes,Low,0
51.891,91,1,10,3,Small,No,No,High,1
32.024,91,13,10,2,Small,Yes,No,Low,0
86.492,21,86,7,29,Small,No,No,High,1
82.835,85,68,5,14,Big,Yes,No,High,1
45.091,71,78,3,11,Big,Yes,Yes,Low,0
10.069,71,40,8,31,Small,No,Yes,Low,0
58.774,62,84,3,30,Small,Yes,No,High,1
27.134,62,2,7,18,Big,No,No,Low,0
43.998,41,40,2,19,Big,Yes,No,Low,0
20.109,91,28,5,25,Big,No,No,Low,0
75.486,21,65,2,0,Small,No,Yes,High,1
74.988,62,66,7,9,Big,Yes,No,High,1
98.234,51,57,4,18,Big,No,No,High,1
51.679,63,39,1,28,Big,Yes,Yes,High,1
66.415,8,10,1,29,Big,Yes,No,High,1
3.137,48,26,5,4,Big,Yes,Yes,Low,0
25.182,73,90,3,28,Big,Yes,No,Low,0
33.662,46,38,6,11,Big,No,Yes,Low,0
20.743,19,15,5,10,Big,No,Yes,Low,0
23.541,83,3,6,30,Big,No,No,Low,0
18.243,4,22,7,26,Small,No,Yes,Low,0
48.067,73,83,9,12,Big,No,No,Low,0
59.702,45,37,6,27,Big,Yes,Yes,High,1
92.522,39,20,1,16,Big,Yes,No,High,1
47.242,12,55,5,18,Small,No,No,Low,0
63.6,7,20,6,3,Big,Yes,Yes,High,1
77.304,25,90,3,22,Big,Yes,No,High,1
73.47,43,32,2,20,Big,Yes,No,High,1
84.004,89,32,1,17,Big,Yes,Yes,High,1
40.934,51,41,9,3,Small,No,Yes,Low,0
56.467,63,41,2,31,Small,No,No,High,1
14.608,33,88,10,0,Small,Yes,Yes,Low,0
47.534,47,9,5,22,Big,No,No,Low,0
92.304,75,53,9,25,Big,No,No,High,1
55.678,59,51,10,10,Small,No,Yes,High,1
60.018,28,64,5,29,Big,No,Yes,High,1
82.853,67,72,6,6,Small,Yes,No,High,1
37.375,13,66,2,6,Big,No,Yes,Low,0
34.956,3,93,8,18,Big,Yes,Yes,Low,0
8.528,10,48,10,23,Big,Yes,No,Low,0
38.021,76,82,2,30,Big,Yes,Yes,Low,0
87.585,80,66,5,4,Small,Yes,No,High,1
93.466,6,27,9,14,Small,No,No,High,1
45.285,12,41,2,13,Big,Yes,No,Low,0
14.447,39,23,8,19,Small,Yes,No,Low,0
60.763,78,36,4,29,Big,No,No,High,1
10.841,93,19,6,2,Big,No,Yes,Low,0
65.752,15,76,4,1,Small,Yes,Yes,High,1
44.994,4,71,1,24,Small,Yes,Yes,Low,0
7.443,38,41,8,16,Big,No,No,Low,0
44.836,85,88,10,21,Small,Yes,No,Low,0
3.605,45,22,7,14,Big,No,No,Low,0
67.709,82,2,10,29,Big,No,No,High,1
91.275,17,21,6,22,Small,Yes,Yes,High,1
74.893,14,37,6,6,Small,No,Yes,High,1
57.971,35,41,1,28,Small,No,No,High,1
94.228,34,62,10,27,Small,Yes,No,High,1
35.821,12,71,10,8,Big,No,No,Low,0
34.967,30,49,4,12,Big,No,No,Low,0
65.476,3,62,5,31,Small,Yes,Yes,High,1
50.262,64,55,6,18,Small,Yes,Yes,High,1
36.353,50,2,8,3,Big,No,No,Low,0
42.585,74,30,9,21,Big,Yes,Yes,Low,0
60.162,93,9,9,7,Big,No,Yes,High,1
0.622,81,17,2,11,Small,No,Yes,Low,0
83.214,74,82,5,6,Small,Yes,No,High,1
58.623,42,15,7,25,Small,Yes,No,High,1
82.325,77,2,5,14,Big,Yes,Yes,High,1
20.744,43,97,1,27,Small,Yes,No,Low,0
14.621,40,41,4,25,Small,No,No,Low,0
41.705,45,97,6,11,Small,No,No,Low,0
82.321,27,57,4,12,Big,No,No,High,1
94.491,76,37,4,23,Big,Yes,No,High,1
47.253,84,32,5,23,Small,No,No,Low,0
14.807,30,59,7,5,Big,Yes,No,Low,0
67.583,99,99,2,21,Big,No,No,High,1
69.364,24,2,1,29,Big,Yes,Yes,High,1
12.107,15,9,5,10,Small,No,Yes,Low,0
30.888,52,84,2,25,Small,Yes,No,Low,0
98.857,4,72,2,6,Big,Yes,No,High,1
45.305,47,52,3,20,Small,No,Yes,Low,0
91.673,4,47,2,10,Small,No,No,High,1
54.563,76,56,4,27,Big,No,Yes,High,1
12.196,85,17,2,14,Small,Yes,No,Low,0
63.183,49,46,6,19,Big,Yes,Yes,High,1
40.394,87,30,6,0,Big,No,Yes,Low,0
92.548,48,73,5,15,Small,No,No,High,1
42.981,49,73,5,7,Small,No,Yes,Low,0
76.352,55,12,2,15,Big,Yes,Yes,High,1
78.506,94,84,10,25,Big,Yes,No,High,1
75.645,51,64,4,12,Big,No,No,High,1
66.436,19,51,3,0,Small,Yes,Yes,High,1
5.886,87,22,10,30,Big,Yes,No,Low,0
